english,farsi
epithelize,بافت پوششی شدن
epizeuxis,ردالعجز علی الصدر
epizoic,انگل جانور
epizootic,ناخوشی همه گیرحیوانی
eponym,سرخاندان
eponym,عنوان دهنده
eponym,عنوان مشخص
epopee,شاعر اشعارحماسی
epsilon,اپسیلون
epsom salt,سولفات دومنیزی
equal,همال
equal,همبردار
equal,مساوی
equal,همال
equal,عدیل
equal,همپایه
equal,متکافی
equal,یکسان
equal,برابر
equal,رمارم
equal,موازی
equal,مکافی
equal,همسان
equal sign,علامت تساوی
equal to,معادل
equal to,برابر
equal to,برابر با
equalitarian,مساوات گری
equalitarian,مساوات گرای
equalitarianism,مساوات گرایی
equalitarianism,مساوات گرائی
equality,سواء
equality,یکسانی
equality,تساوی انسان
equality,برابری
equality,اعتدال
equality,تساوی
equality,مساوات
equalize,برابر کردن
equalize,مساوی کردن
equalize,مانند کردن
equally,علیالسویه
equally,متساویا
equally,بطور مساوی
equally,مساویا
equally,بالسویه
equally,به تساوی
equally,بطور مساوی
equanimity,قضاوت منصفانه
equate,مساوی پنداشتن
equate,معادله ساختن
equate,یکسان فرض کردن
equate,برابر گرفتن
equation,معادله
equator,خت استوا
equator,دایره استوا
equator,خط استوا
equator,استواء
equatorial,استوائی
equerry,میراخور
equestrian,چابک سوار
equestrienne,شوالیه زن
equiangular,متساوی الازوایا
equidistance,متساوی المسافت
equilateral,ازدوطرف متقارن
equilateral,متساوی الاضلاع
equilibrate,متعادل شدن
equilibrated,هم ترازو
equilibrist,بندباز
equilibrist,طرفدارسیاست موازنه
equilibrium,موازنه
equine,اسبی
equinox,اعتدال شب و روز
equinox,نقطه اعتدالین
equip,مجهز کردن
equip,تجهیز کردن
equip with arm,مسلح شدن
equipment,تجهیز
equipment,ساز وبرگ
equipment,سامان
equipment,اثاثیه
equipoise,متوازن کردن
equipoise,متعادل ساختن
equipoised,دنگادنگ
equipollent,هم نیرو
equipollent,هم معنی
equipollent,هم قوه
equiponderant,هم وزن
equiponderant,همسنگ
equiponderate,هم وزن کردن
equipotent,هم طرفیت
equipotent,هماثر
equipotential,هم قوه
equipotential,هم نیرو
equipotential,هم اثر
equipotential,هم مقام
equipotential,هم ظرفیت
equipped,مجهز
equipped with,مجهز به
equitable,متساوی
equitable,منصف
equitable,منصفانه
equitable,منصفانه
equivalent,معادل
equivalent,هم ارز
equivalent,نظیر
equivalent,مشابه
equivalent,معادل
equivocal,دارای ابهام
equivocal,دوپهلو
equivocal,دوحرفه
equivocate,سهل انگاشتن
equivocate,ابهام بکار بردن
equivocation,توریه
era,اغاز تاریخ
era,عصر تاریخی
eradicate,از ریشه در اوردن
eradicate,ریشه کن کردن
eradicate,لنجیدن
eradicated,ریشه کن
eradication,ریشه کنی
eradication,قلع
eras,اعصار
erasable,پاک شدنی
erase,حک کردن
erase,ستردن
eraser,پاک کن
eraser,مداد پاک کن
eraser,مرکب پاک کن
erasing,امحاء
erasure,پاک شدگی
erasure,تراشیدگی
erect,افراشتن
erect,سیخ
erected,منتصب
erectile,نصب کردنی
erectile,قابل نعوظ
erectile,بلند کردنی
erectile,سیخ شدنی
erection,شق شدگی
erection,نعوظ
ergometer,نیروسنج
ergometer,ارگ سنج
Ernes Bonzer,ارنس بانزر
Ernesto,ارنستو
Ernesto Che Guevara,ارنستو چه گوارا
erosion,فرسایش
erosion,سایش
erosion,فساد تدریجی
erosive,فرساینده
erosive,فرسایشگر
erosive,فرسایشی
erotic,شهوت امیز
erotic,شهوت انگیز
erotic,وابسته به
erotica,ادبیات عاشقانه
err,گمراه شدن
err,دراشتباه بودن
err,اشتباه کردن
err,غلط بودن
err,اشتباهکاری کردن
errand,ماموریت
errantry,عیاری
errata,غلط نامه
errata,فهرست غلط نامه
errata,فهرست اشتباهات
errata,غلطنامه
erratum,فهرست اغلاط
erratum,غلط نامه
erroneousley,غلطی
erroneously,سهواً
error,سهو
error,غلط
error,اشتباه
error,غلط
error,خطا
error free,بی اشتباه
error rate,میزان خطا
errorful,پر غلط
errorless,بی لغزش
errorless,بی اشتباه
errorlessness,بی لغزشی
errorlessness,بی غلطی
erruption,فوران
erse,زبان گالی
erudite,ادیب
erudition,دانشوری
erumpent,شکوفنده
erumpent,منفجر شونده
erupt,جوش دراوردن
erupt,فشاندن
erupt,فوران کردن
eruptive,بثوری
eruptive fever,تب دانه ای
Esau,عیسو
escalator,پله برقی
escalator,بالابرنده
escalator,بالارو
escalator,پله متحرک
escapade,جفتک زنی
escape,رهایی یافتن
escape,گریز
escape,فرار
escape,از دست گریختن
escape,متواری شدن
escape,در رفتن
escape,فرار کردن
escape,فرار دادن
escape,گریختن
escape,در رفتان
escape,جان بدر بردن
escape,رستن
escape danger,از خطر جستن
escape mechanism,وسیله فرار
escape mechanism,طفره وتعلل
escape with,دربردن
escapement,مزاج گوی
escapement,چرخ دنگ
escapement wheel,چرخ دنگ
escaping,در رفتن
escarpment,سرازیری خندق
escarpment,سینه کش
eschatology,مبحث اخرت
escheat,مرده باشد
escort,اسکورت کردن
escort,بدرقه کردن
escort,همراه
escort,تشییع کردن
escort,همراهی کردن
escort,اسکورت
escorting,تشییع
escorting,مشایعت
escorts,ملازمین
Esfahani,اصفهانی
Esfand,اسفند
Esfandiyar,اسفندیار
Esfehan,اصفهان
Eshrat,عشرت
eskimo,اسکیمو
Esmail,اسماعیل
Esmat,عصمت
esophagus,سرخ نای
especially,بالاخص
especially,علیالخصوص
especially,خصوصاً
especially,خاصه
especially,به ویژه
esperanto,اسپرانتو
esperanto,زبان بین المللی
espial,دیدهبانی
espial,دیدبانی
espial,جاسوسی
espianade,شیب ملایم
espianade,قطعه زمین هموار
espionage,جاسوسی
espouse,نامزد کردن
espouse,شوهر دادن
espouse,عقیده داشتن به
espy,دیدهبانی کردن
esquire,مالک زمین
Esrafil,اسرافیل
essay,انشاء
essence,ماهیت
essence,فروهر
essence,لب
essence,جان
essence,اسانس
essence,سلاله
essence,ذات
essential,واجب
essential,حساس
essential,اساسی
essential,اصولی
essentially,اصولا
establish,تاسیس کردن
establish,تاسیس نمودن
establish,جایگیر کردن
establish,مسلم کردن
establish,بنانهادن
establish,برقرار داشتن
establish,افتتاحکردن
establish,دایر کردن
establish,بستن
establish,برقرار کردن
establish,احداث کردن
establish contact,رابطه برقرار کردن
established,پا برجای
established,برپا
established,مکین
establishing,تاسیس
establishing,افتتاح
establishment,دسته کارکنان
establishment,استقرار
establishment,احداث
establishment,ساختمانان
establishment,برقراری
establishment,تاسیس
establishment,تشکیل
establishment,جایگیری
estate,ماترک
estate,املاک
esteem,منزلت
esteem,عزت
esteem,اعتبار
esteem,لایق دانستن
esteem,عزیز داشتن
esteem,ارج
esteemed,معزز
esteemed,مقرب
esthesiometer,احساس سنج
estimable,براورد کردنی
estimate,براورد
estimate,براورد کردن
estimate,براورد کردن
estimate,براورد
estimate,تخمین زدن
estimated,تخمین زده
estimation,براورد
estimation,تخمین
estimmatable,قابل براورد کردن
estival,صیفی
estonian,زبان استونی
estoppel,مانع قانونی برایانکارپس ازاقرار
estrange,دورکردن
estrange,بیگانه کردن
estrogen,استروژن
estrous,فحلی
et cetera,وقس علیهذا
et cetera,الی اخر
etch,سیاهقلم کردن
eternal,لایزال
eternal,ابدی
eternal,ازلی
eternal,بی زوال
eternal,جاوید
eternal,جاودان
eternal,خالد
eternal,جاودانه
eternal,سرمد
Eternal Being,ذات لایزال
eternal paradise,خلد برین
eternally,ابدالدهر
eternally,ابدالدهر
eternity,دهر
eternity,خلد
eternity,ابد
eternity,ازلیت
eternity,بی زمانی
eternity,جاودانی
eternity,ازل
eternity,ابدیت
eternize,شهرت ابدی دادن
eternize,ابدی کردن
ethanol,الکل معمولی
ether,اتر
ether,اثیر
ethereal,اتری
ethereal,اثیری
etherealize,اثیری کردن
etherealize,اسمانی کردن
etherealize,نزکیه کردن
etherize,بااترترکیب کردن
etherize,با اتر بیهوش کردن
ethic,کتاب اخلاق
ethics,اصولاخلاق
ethics,علمالاخلاق
ethics,اخلاقیات
ethics,علم اخلاقی
Ethiopia,اتیوپی
Ethiopia,حبشه
Ethiopian,حبشی
Ethiopian,حبشی
ethmoid,پرویزنی
ethnic,نژادی
ethnic,وابسته به نژادشناسی
ethnocentric,نژاد پرست
ethnocentrism,نژاد پرستی
ethnography,نژاد پرستی
ethnography,قوم نگاری
ethnologist,نژاد شناس
ethnologist,نژاد شناس
ethnology,نژاد شناسی
ethyl alcohol,الکل معمولی
ethyl alcohol,الکل اتیلیک
ethylic,اتیلی
etiology,لادشناسی
etiquette,اداب معاشرت
etiquette,اداب
etiquette,اداب معاشرت
Etna,اتنا
etymologize,ریشه لغتی رایافتن
etymology,واج ریشه شناسی
etymology,علم اشتقاق
etymon,واج ریشه
eucalyptus,اکالیپتوس
eucharist,مجلس سپاسگزاری
Eucharist,عشاربانی
eucharist,شکرگزاری
eucher,اوکر
Euclid,اقلیدس
eudaemonism,اخلاقیات ارسطو
eudaimonism,اخلاقیات ارسطو
eugenic,صحیح النسب
eugenics,به نژادی
eugenics,اصلاح نژادی
eugenics,به نژادی
eulogies,مدائح
eulogist,ثناگو
eulogist,مداح
eulogist,مدیحهسرا
eulogist,مدیحهسرا
eulogist,ثنا خوان
eulogist,مداح
eulogist,مدیحه سرا
eulogist,ثنا خوان
eulogize,ثناء گفتن
eulogize,مدح کردن
eulogize,مداحی کردن
eulogizer,مداح
eulogizing,مداح
eulogy,ثنا
eulogy,مداحی
eulogy,مدیحه
eulogy,مدح
eulogy,ستایشگری
eun away,ورمالیدن
eunuch,خصی
eunuch,خواجه
eunuch,خصی
eunuch,خواجه
eunuch,اخته
eunuch,خواجهحرمسرا
eunuch,خنثا
eunuch,مرد اخته
eupeptic,سهل الهضم
euphemism,حسن تعبیر
euphony,عدم تنافر
euphony,سهولت ادا
euphony,صدای دلپذیر
euphoria,مشاط
Euphrates,فرات
euphuism,بیان مطنطن
Euro,یورو
Euro,یورو
europe,قاره اروپا
Europe,اروپا
Europe,فرنگستان
Europe,فرنگ
european,فرنگی
European,اروپایی
European,فرنگی
european,فرنگی
European,اروپایی
European,فرنگی
European Union,اتحادیه اروپا
Eurpoean Monitory Unification,اتحاد پیلی اروپا
Eurydice,اوریدس
eurydice,زن اورفوس
euthanasia,مرگ اسان
evacuate,خالی کردن
evacuate,تخلیه کردن
evacuation,تخلیه
evacuation,برون بری
evacuation,تهی سازی
evadable,طفره پذیر
evade,در رفتن
evade,طفره زدن
evade,از سر باز کردن
evading,در رفتن
evaluate,تقویم کردن
evaluate,ارزیابی کردن
evaluation,ارزیابی
evanescence,غیب زدگی
evanescence,زوال تدریجی
evanescence,فقدان تدریجی
evangel,مبشر
evangelic,مژده دهنده
evangelical,انجیلی
evangelical,مژده دهنده
evangelist,مبشر
evangelist,مژده دهنده
evaporate,تبخیر کردن
evaporate,تبخیر شدن
evaporate,بخار شدن
evaporation,تبخیر
evasion,طفره
evasion,گریز زنی
evasion,گریز
evasive,طفره امیز
evasive,طفرهزن
eve,جنس زن
Eve,حوا
Eve,هوا
even,تخت
even,زوج
even,تخت
even,حتی
even,جفت
even numbers,اعداد جفت
even out,یکدست کردن
even out,یکنواخت کردن
even though,ولواینکه
even though,باوجوداینکه
evening,شام
evening,غروب
evening,غروبی
evening,شامگاه
evening,مسا
evening,سرشب
evening,عشا
evening,شامگاهی
evening party,شب نشینی
evening prayer,نماز مغرب
evenly,به تساوی
evenness,زوجیت
evensong,سرود شامگاه
event,ماوقع
event,حادثه
event,پیشامد
event,رویداد
event,واقعه
event,عرض
event,حدث
event,اتفاق
eventful,پرحادثه
events,وقایع
eventually,سر انجام
ever,درهر صورت
ever,هرگز
ever lasting,مادام الحیات
ever lasting,مادام العمر
ever lasting,مخلد
ever-increasing,روز افزون
ever-increasing,دائمالتزاید
ever-increasing,دائم التزاید
Everest,اورست
everglade,زمین باتلاقی
everglade,نیستان
everglade,نیزار
evergreen,همیشه سبز
evergreen,بی خزان
evergreen,همیشه بهار
evergreen,همیشه بهار
everlasting,جاودان
everlasting,تمام نشدنی
everlasting,ابدی
everlasting,ابد
everlasting,لایزال
everlasting,ازلی
everlasting,جاویدان
evermore,درتمام وقت
eversible,واژگون شدنی
eversion,واژگون سازی
evert,پشت ورو کردن
every,همه
every,هر
every,هرکدام
every moment,ان به ان
every time,هر وقت
everybody,تر و خشک
everybody,همه
everyday,هر روز
everyone,هرکه
everyone,هر کس
everyone,همگان
everyone,همگان
everyone,هر کس
everyone that,هر شخص
everyone that,هرانکه
everyone that,هرکه
everyone which,هر شخص
everything,همه چیز
everything,هر چیزی
everything,همه چیز
everything,هر چیزی
everything,هر چیز
everything that,هرانچه
everywhere,درهمه جا
everywhere,همه جا
everywhere,درهرقسمت
everywhere,درهرجا
everywhere,دور و نزدیک
everywhere,همه جا
everywhere,همه جا
evict,خلع ید کردن
eviction,خلع ید
eviction,اخراج مستاجر
evidence,گواهی
evident,بدیهی
evident,اشکار
evident,هویدا
evidential,مدرکی
evidential,شهادتی
evidently,نظرا
evil,سوء
evil,بدی
evil,خبیثه
evil,خبیث
evil,طاغوت
evil,شر
evil,زیان اور
evil,شرارت امیز
evil,شر
evil,بدیمن
evil eyed,شور چسم
evil natured,بد جنس
evil-hearted,بدقلب
evil-natured,بدگهر
evildoer,بد کار
eviscerate,شکم دریدن
evolution,تکامل
evolution,ریشه گیری
evolution,تکامل تدریجی
evolution,سیر تکاملی
evolutionary,فرگشتی
evolutionary,تکاملی
evolutionary trend,سیر تکامل
evolve,تکامل پیدا کردن
evolve,تکامل یافتن
evolved,متحول
evolving,متحول
ewe,میش
ewe,گوسفند ماده
ewer,تنگابخوریاطاق
ewer,ابدستان
ewer,افتابه
ewer,افتابه
ex post facto,عطف بماسبق
exacerbate,تشدید کردن
exacerbate,بدتر کردن
exact,عینی
exaction,سخت گیری
exactly,بی کم و زیاد
exactly,صحیحا
exactly,بعینه
exactly,عینا
exactly,بدرستی
exactly,دقیقا
exaggerate,اغراق کردن
exaggerate,غلو کردن
exaggerate,اغراق گفتن
exaggerate,گزاف گوئی کردن
exaggerate,مبالغه کردن
exaggerating,مبالغه گو
exaggeration,گزافهگو
exaggeration,مبالغه
exaggeration,گزافه گویی
exaggeration,مبالغه گویی
exaggeration,غلو
exaggeration,اغراق
exaggeration,گزاف
exaggeration,گزافه
exaggeration,گزاف گوئی
exaggeration,اغراق امیز
exaggerative,مبالغه امیز
exaggerator,مبالغه گو
exalt,متعال کردن
exaltation,افراشتگی
exalted,معلا
exalted,معلی
exalted God,خداوند تعالی
exam-related,امتحانی
examination,ازمایش
examination,ازمون
examination,محک
examination,معاینه
examination,ازمایه
examination,تجزیه
examination,امتحان
examine,بررسی کردن
examine,ازمون کردن
examine,تجزیه کردن
examine,مورد بررسی قرار دادن
examiner,ممتحن
examiner,امتحان کننده
examiner,ازمونگر
examplar,مثلی
examplar,مثالی
example,مثال
example,نمونه
example,سرمشق
example,مال
example,عبرت
example,سرمشق
example,الگو
examples,نظائر
examples,امثال
examples,امثاله
exarch,نایب السطنه
exasperate,جری کردن
exasperate,ازجا در بردن
exasperatedly,اوقات تلخی
exasperation,اوقات تلخ
excavate,حفر کردن
excavate,ازخاک دراوردن
excavation,گودبرداری
excavation,کاوش
excavation,حفاری
excavation,خاک برداری
excavations,حفریات
excavator,حفر کننده
excavator,حفار
exceed,متجاوز بودن
exceed one's limits,دست از پا خطا کردن
exceed one's limits,دست درازی کردن
excel,بهتربودن از
excellence,فضیلت
excellence,سبق
excellence,نغزی
excellence,رجحان
excellence,جودت
excellence,شگرفی
excellence,کمال
excellency,جناب
excellency,جناب اقای
excellent,بسیار خوب
excellent,ممتاز
excellent,نغز
excellent,عالی
excellent,نکو
excellent,غرا
excellent,فایق
except,جز
except,استثناء کردن
except,به جز
except,غیر از
except,باستثنای
except for,بغیراز
except for,باستثنای
exception,استثنا
exception,استثناء
exception,مستنی
exceptionable,اعتراض پذیر
exceptional,مستثنی
exceptional,استثنایی
exceptional,فوقالعاده
exceptionally religious,مستجاب الدعوه
excerpt,اقتباس کردن
excerpt,قطعه منتخب
excess,زیاده
excess,بی اعتدالی
excess,فزونی
excess,فضول
excess,زیادهروی
excess,زیادتی
excess,زیادتی
excess,بحد افراط
excess,زائده
excess,سرک
excess,علاوه
excess,بالابود
excess luggage,اضافه بار
excessive,بیش از حد
excessive,مفرط
excessive,بیشازاندازه
excessive,افراطی
excessive,زائد
excessive,زیاده
excessive,کثیر
excessive,زیادی
excessively,بی شباهت
excessiveness,گزافی
excessiveness,افراط
excessiveness,اسراف
exchange,رد و بدل کردن
exchange,تسعیر نمودن
exchange,عوض
exchange,عوض کردن
exchange,پایاپای
exchange,مصالحه
exchange,معاوضه
exchange,باهم عوض کردن
exchange,تبادل
exchange,تعویض کردن
exchange,تبادل کردن
exchange,مصالحه کردن
exchanged,عوضی
exchanging,تسعیر
exchanging views,تبادل نظر
excise,مالیات غیرمستقیم
excise tax,مالیات عیر مستقیم
excitable,قابل تهییج
excitable,برانگیختنی
excite,تهییج شدن
excite,تهییج کردن
excite,هیجان داشتن
excite,برانگیختن
excite,بهیجان در اوردن
excite,بهیجان اوردن
excite,به هیجان اوردن
excite,بههیجان اوردن
excite,دستپاچه کردن
excited,هیجانی
excitement,تهییج
excitement,جنب و جوش
excitement,هیجان
excitement,هیجان
exciting,باهیجان
exciting,هیجان اور
exciting,پر هیجان
exclaim,بعموم اگهی دادن
exclamation,علامت تعجب
exclamation,غریو
exclamatory,متضمن فریاد
exclamatory,شگفت اور
excludable,محروم کردنی
exclude,مستثنی کردن
excluding,به جز
exclusionary,سالب
exclusive,منحصر
exclusive,انحصاری
exclusive,انتصاری
exclusively,منحصرا
exclusivity,انحصاریت
excommunicate,تکفیر کردن
excommunication,تکفیر
excorcist,طلسمگر
excrement,مدفوع
excrement,نجاست
excrement,غایط
excrement,براز
excrement,فضله
excremental,مدفوعی
excrements,مدفوعات
excrescence,رویش ناهنجار
excrescency,رویش ناهنجارنسوج
excreta,فضولات
excretal,برازی
excrete,دفع کردن
excrete,برون کردن
excretion,دفع
excruciating,مشقت بار
exculpation,روسفیدی
excursion,کشتی تفریحی
excursion,مسافرت تفریحی
excursive,بی ترتیت
excursus,ضمیمهتشریحی
excusable,معاف شدنی
excusable,بخشیدنی
excusableness,معذوریت
excuse,معذرت خواستن
excuse,بهانه
excuse,دستاویز
excuse,معذور داشتن
excuse,مستمسک
excuse,عذر
excuse,معذرت
excuse,بهانه
excuse me,معذرت میخواهم
excused,معذور
excuser,عذر اورنده
excuses,معاذیر
excuses,معذر
executable,قابل اجرا
execute,اعدام کردن
execute,جاری ساختن
execute,تیرباران کردن
execute,اجراء کردن
execute by shooting,تیرباران کردن
executed,اعدام شده
execution,گردن زنی
execution,اجرا
execution,اعدام
execution,اجراء
execution by firing squad,تیر باران
execution by firing squad,تیرباران
execution of sentence,اجرای حکمء
execution of sentence,اجراء حکم
execution time,هنگام اجرا
executioner,دژخیم
executive,مجری
executive,اجرایی
executive officer,ضابط
executive power,قوه مجریه
executor,اجراکننده
executor,مامور اجرا
executor,مجری
executor,وصی
executrix,وصیه
executrix,زن اجراکننده
exellence,ممتازی
exellent,عالی
exemplary,عبرتاور
exemplary,نمونهوسرمشق
exemplification,نمونهاوری
exemplification,مثال اوری
exemplify,نمونه شدن
exemplify,بانمونه نشان دادن
exemplify,مثل زدن
exemplify,با نمونه مشخص کردن
exempt,بری الذمه کردن
exempt,بری
exempt,معاف کردن
exempt,مصون کردن
exempt,معاف
exempt,بری الذمه
exempt,مبرا کردن
exempted,مبرا
exemption,معافیت
exemption,معافی
exemption,بخشودگی
exemption paper,ورقهخاتمهخدمت
exenterate,شکم دریدن
exept,غیراز
exequature,روانامه
exercise,نرمش کردن
exercise,مشق
exercise,مشق گرفتن
exercise,تمرین
exercise,مشق کردن
exercise,ورزش
exercise,تمرین کردن
exercise,ورزش کردن
exercise of control,اختیارداری
exercise of power,زوراوری
exercise of power,زورمندی
exercising,اعمال
exert,اعمال کردن
exert influence,منشع اثر واقع شدن
exertion,اعمال زور
exertion of force,زورورزی
exfoliate,پوست انداختن
exfoliate,پوسته شدن
exfoliate,پوسته پوسته شدن
exhalant,بیرون دهنده
exhalant,بیرون دهنده
exhalation,زفیر
exhale,زفیر کردن
exhaust,زیاده خسته کردن
exhaust,اگزوز
exhaust,پای در اوردن
exhaust,از نفس انداختن
exhaust,از پا انداختن
exhaust,اگزوس
exhausted,بی رمق
exhausted,کوفته
exhausted,تاسیده
exhausted,بی حال
exhaustion,بی حالی
exhaustion,واماندگی
exhaustion,فرسودگی
exhibit,عرض کردن
exhibition,نمایشگاه
exhibition,نظر گاه
exhibitionism,فرومینشاند
exhibitive,جلوه دهنده
exhibitive,نشان دادنی
exhilarate,شادمان کردن
exhilarating,روح افزا
exhilarating,نشاطاور
exhilarating,مفرح
exhilirating,روح پرور
exhumation,نبش قبر
exhumation,نبش
exhume,نبش کردن
exhume,نبش قبرکردن
exhust,تدریجا تحلیل رفتن
exieting,مهیج
exigency,مقتضی
exigent,فشاراور
exigible,قابل پرداخت
exigible,قابل مطالبه
exigible,قابل ادعا
exigible,قابل تقاضا
exile,نفی بلد
exile,غربت
exile,نفی بلد کردن
exile,تبعید
exile,تبعید کردن
exile,جلای وظن
exist,وجود داشتن
exist,موجود بودن
exist,بودن
existence,زندگی
existence,موجودیت
existence,دارای هستی
existence,بایش
existence,هستی
existence,وجود
existence,حیات
existence,زیست
existential,وجودی
existing,کائن
existing,متکون
exit,خروج
exit,مخرج
exit,دررو
exit,راه خروجی
exit,خروجی
exite,انگیختن
exitement,انگیزش
exitement,افروختگی
exiting,معجب
exocrine,برون تراو
exogamy,برون همسری
exogenous,برون رو
exonerate,تبرئه کردن
exonerate,مبرا کردن
exonerate,مبرا بودن
exoneration,تبرئه
exoneration,تبری
exorbitant,گزاف
exorcise,جادو کردن
exorcism,جنگیری
exorcism,دفع جن
exorcism,دفع شیاطین
exorcist,جن گیر
exoskeleton,بر استخوان بدنی
exoteric,زود فهم
exotic,عجیب وغریب
expand,ریع کردن
expand,منبسط ساختن
expand,توسعه یافتن
expand,بسط یافتن
expand,گسترده کردن
expand,منبسط شدن
expand,بسط دادن
expand,منبسط کردن
expandability,قابلیت انبساط
expandable,قابل انبساط
expandable,قابل انبساط
expanded,متسع
expanded,منبسط
expanded,مبسوط
expanded,منبسط شده
expander,منبسط کننده
expandibility,قابلیت انبساط
expandibility,انبساط پذیری
expanding,توسیع
expanse,فضای زیاد
expansible,انبساط پذیر
expansible,کش امدنی
expansion,اتساع
expansion,بسط
expansion,گسترش
expansionary,انبساط اور
expansionism,توسعه طلبی
expansionist,توسعه طلب
expansionist,استعماری
expansionist,استعمار گر
expansionist,استعمار طلب
expansionist,توسعه طلب
expansionist,توسعه خواه
expect,چشم امید داشتن
expect,متوقع بودن
expect,توقع داشتن
expect,منتظر شدن
expect,انتظار داشتن
expectant,در انتظار
expectant,ابستن
expectation,ترصد
expectation,چشم داشت
expectation,انتظار
expectation,توقع
expected,مترقبه
expected,مورد انتظار
expecting,مترقب
expecting,منتظر
expecting,متوقع
expecting,مترصد
expecting,امیدوار
expecting,منتظر
expectorant,بلغم اور
expectorant,کف اور
expectorant,اخلاط اور
expectorations,اخلاط
expedent,مصلحتامیز
expedient,مقتضی
expedient,مقرون به مصلحت
expedient,با تدبیر
expedient,مقتضا
expedite,شتاباندن
expedition,اردوکشی
expedition,تسریع
expel,بیرونکردن
expel,بیرونانداختن
expel,اخراج کردن
expendable,مصرف پذیر
expenditure,برامد
expenditure,مخارج
expense,هزینه
expense,خرج
expense account,صورت هزینه
expenses,خرج و برج
expensive,گران
expensive,پرخرج
expensive,گران قیمت
expensive,سنگین قیمت
expensive,گران بها
expensive,ثمین
experience,تجربه
experience,ازمودگی
experience,تجربه کردن
experience,ورزیدگی
experience,خبرگی
experienced,با تجربه
experienced,پخته
experienced,باران دیده
experienced,سابقه دار
experienced,دنیا دیده
experienced,مجرب
experienced,کاردیده
experienced,کارکشته
experienced,کارکرده
experienced,ازموده
experienced,ورزیده
experienced,کار ازموده
experiencedness,پختگی
experiences,تجارب
experiential,تجربی
experiment,ازمودن
experimental,تجربی
experimental,ازمایشی
experimental psychology,روان شناسی تجربی
experimentation,ازمایه
experimentation,ازمایش
expert,ماهر
expert,متخصص
expert,کارثناس
expert,کارشناس
expert,کارثناس
expert,خبره
expert,سررشته دار
expert,زبده
expert,زبده
expert,ویژهگر
expert,ویژهکار
expertise,ورزیدگی
expertise,کارثناسی
expertise,تخصص
expertly,استادانه
expiration,انقضا
expiration,بازدم
expire,سپری شدن
expire,منقضی شدن
expired,سپری
expired,منقضی
expirement,امتحان
expirienced,باتجربه
explain,بیانکردن
explain,توصیه دادن
explain,توضیح دادن
explain,تشریح کردن
explain,روشنکردن
explain,بسط دادن
explain,تاویل کردن
explain,شرح دادن
explain,حالی کردن
explain,تعبیر کردن
explained,مفسر
explained,حالی
explainer,وصاف
explainer,واصف
explanation,تفسیر
explanation,تبیان
explanation,تبیین
explanation,تاویل
explanation,تشریح
explanation,تعبیر
explanation,بیان
explanation,شرح
explanation,توضیح
explanation,توجیه
explanations,شروح
explanatory,تاویلی
explanatory,توضیحی
explanatory,روشنگر
explanatory,شرحی
explanatory,بیانی
explanatory,بیانگر
explanetory,مبین
expletive,اشباعی
expletive,جایگیر
explicit,صریح
explicit,صریح
explicit consent,رضایت صریح
explicitly,صریحا
explicitly,صراحتا
explodable,منفجره
explodable,منفژره
explode,انفجار کردن
explode,ترکیدن
explode,منفجر کردن
exploded,منفجر شده
exploding,منفجر
exploit,دوشیدن
exploit,استثمار کردن
exploit,استخراج کردن
exploitation,بهره برداری
exploitation,استثمار
exploited,مستخرج
exploration,استخراج
exploration,استکشاف
exploration,پی گردی
exploration,سیاحت
exploration,سیاحت اکتشافی
exploration,اکتشاف
exploratory,اکتشافی
explore,اکتشاف کردن
explore,سیاحت کردن
explore space,فضانوردی کردن
explorer,پیگرد
explorer,سیاح
explorer,مکتشف
explorer,جستجوگر
explorer,کاوشگر
explorer,جستجوگر
exploring,کاوشگر
explosion,احتراق
explosion,وقوع انفجار
explosion,ترکیدن
explosion,انفجار
explosive,انفجاری
explosives,منفردا
explosives,مواد منفجره
exponential,مجهول القوا
export,صادر کردن
export,صادراتی
export,کالای صادره
export,صدور
exporter,صادرکننده
exporter,صادر کننده
exports,صادرات
expose,بیپناه گذاشتن
expose,درمعرض گذاشتن
expose,ضاهر ساختن
exposed,بی پناه
exposed to,در معرض
exposed to danger,در معتز خطر
exposition,توضیح
expositive,نمایشگاهی
expository,توضیحی
exposure,اشکاری
exposure,هوا خوردگی
exposure,معرض
expound,بهتفصیل شرح دادن
express,ابراز داشتن
express,اظهار کردن
express,ابراز کردن
express,افاده کردن
express,بیان داشتن
express,اظهارکردن
express doubt,ابراز تردید کردن
express interest,ابراز علاقه کردن
express joy,ابراز شادمانی کردن
express opinion,نظر دادن
express surprise,تعجب کردن
expressed,اظهار شده
expressing,افاده
expressing surprise,مستعجب
expression,عبارت
expression,بیان
expression,حالت
expression,ابراز
expression,پک و پوز
expression,اصطلاح
expression,اظهار
expressive,گویا
expressive,اشارهکننده
expressiveness,رسائی
expressway,تند راه
expulsion,بیرون شدگی
expulsion,اخراج
expulsion,طرد
expulsion,راندگی
expulsion,خروج
expulsion,پاک سازی
expunged,پاک شده
expurgate,تصفیه اخلاقی کردن
exquisite,نفیس
exquisite,نفیس
exquisite things,نفائس
exsanguinate,بی خون کردن
extemporal,ارتجالی
extemporaneity,ارتجال
extemporaneously,اقتراحا
extend,تمدید کردن
extend,تعمیم دادن
extend,تعمیم کردن
extend,تعمیم یافتن
extend,امتداد یافتن
extend,امتداد دادن
extendable,قابل تمدید
